workerid,proliferate.condition,time_in_minutes,error
4664,experiment_05_13,25.498316666666668,
3768,experiment_05_13,6.972383333333333,
3946,experiment_05_13,30.952866666666665,
3339,experiment_05_13,19.01735,
3664,experiment_05_13,15.2748,
3909,experiment_05_13,10.54405,
3183,experiment_05_13,8.63715,
4432,experiment_05_13,5.4831,
4349,experiment_05_13,22.059666666666665,
3398,experiment_05_13,26.922216666666667,
3953,experiment_05_13,6.980133333333334,
4033,experiment_05_13,8.733566666666666,
3262,experiment_05_13,7.335866666666667,
4264,experiment_05_13,9.97945,
3613,experiment_05_13,20.976066666666668,
4112,experiment_05_13,11.185483333333334,
4609,experiment_05_13,12.08525,
4187,experiment_05_13,28.5064,
4514,experiment_05_13,13.477066666666667,
3496,experiment_05_13,7.35485,
4484,experiment_06_24,17.097333333333335,
4137,experiment_06_24,9.273416666666666,
3905,experiment_06_24,25.534466666666667,
4626,experiment_06_24,14.466816666666666,
3331,experiment_06_24,13.160716666666668,
4170,experiment_06_24,18.447616666666665,
3252,experiment_06_24,12.8378,
3607,experiment_06_24,41.42515,
4340,experiment_06_24,14.039033333333334,
4437,experiment_06_24,17.456033333333334,
3594,experiment_06_24,14.4217,
4410,experiment_06_24,22.0024,
3170,experiment_06_24,7.873533333333333,
4074,experiment_06_24,9.628666666666666,
3763,experiment_06_24,16.1297,
4742,experiment_06_24,9.22435,
3449,experiment_06_24,41.057916666666664,
3834,experiment_06_24,12.39045,
4543,experiment_06_24,19.7035,
3487,experiment_06_24,15.973983333333331,
4236,experiment_06_28,10.247933333333334,
3288,experiment_06_28,20.611333333333334,
3680,experiment_06_28,14.83135,
3758,experiment_06_28,6.261783333333334,
3319,experiment_06_28,12.9383,
4068,experiment_06_28,8.285233333333334,
4200,experiment_06_28,7.85215,
3485,experiment_06_28,29.7944,
4536,experiment_06_28,35.937533333333334,
3826,experiment_06_28,17.4215,
4479,experiment_06_28,35.81928333333333,
4331,experiment_06_28,9.253533333333332,
4084,experiment_06_28,27.464466666666667,
3229,experiment_06_28,5.318783333333333,
4307,experiment_06_28,6.8918333333333335,
4405,experiment_06_28,12.492866666666666,
3411,experiment_06_28,18.632683333333333,
4622,experiment_06_28,7.76435,
4696,experiment_06_28,9.865333333333334,
3599,experiment_06_28,13.455716666666667,
4606,experiment_06_22,11.0674,
4691,experiment_06_22,16.020683333333334,
3260,experiment_06_22,14.123466666666667,
4062,experiment_06_22,12.518883333333331,
3744,experiment_06_22,8.387333333333334,
3926,experiment_06_22,10.996433333333334,
3540,experiment_06_22,9.05285,
3470,experiment_06_22,16.607383333333335,
3890,experiment_06_22,17.501833333333334,
4619,experiment_06_22,18.62715,
4299,experiment_06_22,16.614516666666667,
3984,experiment_06_22,30.00545,
4399,experiment_06_22,10.238266666666666,
3666,experiment_06_22,9.275866666666667,
4224,experiment_06_22,6.33205,
3223,experiment_06_22,8.70195,
4527,experiment_06_22,14.030433333333333,
3582,experiment_06_22,10.932616666666666,
4152,experiment_06_22,23.186216666666667,
3393,experiment_06_22,17.208083333333335,
4148,experiment_06_18,21.236766666666668,
3816,experiment_06_18,23.3769,
3880,experiment_06_18,7.208033333333334,
4390,experiment_06_18,9.886983333333331,
4465,experiment_06_18,31.531633333333332,
3462,experiment_06_18,18.328566666666667,
3241,experiment_06_18,10.597233333333334,
4681,experiment_06_18,14.543766666666668,
3531,experiment_06_18,8.221816666666667,
4215,experiment_06_18,11.402116666666666,
3803,experiment_06_18,8.3809,
4522,experiment_06_18,9.95585,
3456,experiment_06_18,14.8671,
3210,experiment_06_18,21.315633333333334,
3573,experiment_06_18,15.808783333333333,
3976,experiment_06_18,11.832016666666666,
4284,experiment_06_18,5.58895,
3660,experiment_06_18,18.866766666666667,
4599,experiment_06_18,11.755633333333334,
4130,experiment_06_18,12.568683333333333,
3971,experiment_06_31,4.847833333333333,
4372,experiment_06_31,4.159383333333333,
4593,experiment_06_31,3.654933333333333,
3242,experiment_06_31,4.206466666666667,
4746,experiment_06_31,3.13935,
3419,experiment_06_31,4.4820166666666665,
4518,experiment_06_31,3.1002,
3808,experiment_06_31,4.661333333333333,
3497,experiment_06_31,7.823183333333334,
3721,experiment_06_31,7.1744,
4447,experiment_06_31,2.8242666666666665,
3321,experiment_06_31,1.521183333333333,
3566,experiment_06_31,4.86695,
4119,experiment_06_31,4.657483333333333,
4316,experiment_06_31,2.53085,
3895,experiment_06_31,3.9015333333333335,
3199,experiment_06_31,3.6391833333333334,
4207,experiment_06_31,3.4854166666666666,
3648,experiment_06_31,3.3221833333333333,
4669,experiment_06_31,4.488816666666667,
4678,experiment_06_03,9.09325,
4679,experiment_06_03,11.6666,
4111,experiment_06_03,25.9273,
4282,experiment_06_03,15.7212,
3314,experiment_06_03,7.662316666666666,
4441,experiment_06_03,8.999866666666666,
3747,experiment_06_03,12.474816666666667,
3524,experiment_06_03,15.364433333333332,
3565,experiment_06_03,9.821633333333333,
3457,experiment_06_03,7.125466666666667,
3388,experiment_06_03,21.321566666666666,
4587,experiment_06_03,25.480383333333332,
4509,experiment_06_03,11.586416666666668,
4032,experiment_06_03,28.15365,
3958,experiment_06_03,7.424816666666667,
3655,experiment_06_03,19.51465,
3810,experiment_06_03,10.220816666666666,
4362,experiment_06_03,12.480266666666669,
4195,experiment_06_03,14.371766666666666,
3889,experiment_06_03,14.075683333333334,
3237,experiment_06_03,4.78555,
3537,experiment_05_01,29.79835,
3450,experiment_05_01,20.27863333333333,
3621,experiment_05_01,20.028416666666665,
4668,experiment_05_01,14.754816666666668,
4106,experiment_05_01,15.05065,
4585,experiment_05_01,30.544633333333337,
3382,experiment_05_01,6.715533333333333,
3813,experiment_05_01,7.927733333333333,
4197,experiment_05_01,9.203816666666668,
3363,experiment_05_01,15.348683333333334,
4383,experiment_05_01,7.545516666666667,
3997,experiment_05_01,12.51145,
3753,experiment_05_01,10.963833333333334,
3221,experiment_05_01,13.43505,
3961,experiment_05_01,17.3113,
4029,experiment_05_01,13.44515,
4310,experiment_05_01,33.0655,
4611,experiment_05_01,15.12265,
3885,experiment_05_01,16.507383333333333,
4424,experiment_05_01,10.80365,
3444,experiment_06_25,14.348133333333331,
4466,experiment_06_25,24.28345,
4332,experiment_06_25,17.4277,
4660,experiment_06_25,29.059816666666663,
3874,experiment_06_25,13.4638,
3521,experiment_06_25,28.834433333333333,
4051,experiment_06_25,10.637916666666667,
3302,experiment_06_25,5.0034,
3716,experiment_06_25,7.879766666666667,
3726,experiment_06_25,40.165933333333335,
4183,experiment_06_25,16.966116666666668,
3609,experiment_06_25,6.209216666666666,
4574,experiment_06_25,17.995483333333333,
3209,experiment_06_25,14.095,
4339,experiment_06_25,12.309533333333333,
3380,experiment_06_25,8.246816666666666,
4096,experiment_06_25,18.457083333333333,
4398,experiment_06_25,24.248216666666668,
4024,experiment_06_25,14.2625,
3871,experiment_06_19,11.005633333333334,
4571,experiment_06_19,8.692733333333333,
3193,experiment_06_19,6.7603333333333335,
4179,experiment_06_19,35.628766666666664,
3708,experiment_06_19,24.63245,
4092,experiment_06_19,6.012583333333334,
4653,experiment_06_19,22.3088,
4295,experiment_06_19,12.443183333333334,
3430,experiment_06_19,14.411133333333334,
3595,experiment_06_19,26.389316666666662,
3298,experiment_06_19,9.22245,
4431,experiment_06_19,7.76655,
3508,experiment_06_19,16.522366666666667,
4255,experiment_06_19,18.183683333333335,
3799,experiment_06_19,13.348866666666666,
3373,experiment_06_19,11.9627,
3944,experiment_06_19,11.68895,
4136,experiment_06_19,15.311016666666667,
4730,experiment_06_19,20.432833333333335,
4174,experiment_05_10,11.235266666666666,
3940,experiment_05_10,21.652366666666666,
3184,experiment_05_10,10.41925,
3570,experiment_05_10,7.601883333333333,
3422,experiment_05_10,5.899766666666666,
4597,experiment_05_10,7.529783333333333,
3867,experiment_05_10,13.641583333333331,
3296,experiment_05_10,11.2779,
4725,experiment_05_10,12.467483333333334,
3700,experiment_05_10,11.8326,
4565,experiment_05_10,9.047783333333332,
4089,experiment_05_10,25.811383333333332,
4374,experiment_05_10,13.126566666666667,
4464,experiment_05_10,33.75338333333333,
3372,experiment_05_10,23.0123,
4309,experiment_05_10,8.754433333333333,
4252,experiment_05_10,12.113033333333334,
3502,experiment_05_10,13.6263,
3794,experiment_05_10,9.039366666666666,
4015,experiment_05_10,10.488433333333331,
4327,experiment_06_35,16.11285,
4588,experiment_06_35,12.601333333333333,
3861,experiment_06_35,25.65975,
4471,experiment_06_35,10.294383333333334,
3936,experiment_06_35,11.340233333333334,
3560,experiment_06_35,48.09245,
4614,experiment_06_35,19.509066666666666,
4085,experiment_06_35,11.452466666666666,
3291,experiment_06_35,16.740516666666668,
4544,experiment_06_35,42.01253333333333,
3479,experiment_06_35,16.785916666666665,
3366,experiment_06_35,22.94095,
3787,experiment_06_35,29.17615,
3206,experiment_06_35,10.31715,
4168,experiment_06_35,12.218016666666667,
4722,experiment_06_35,21.1915,
4279,experiment_06_35,14.5106,
4648,experiment_06_35,34.894666666666666,
3713,experiment_06_35,13.46225,
4009,experiment_06_35,26.608933333333333,
4080,experiment_05_32,7.0499833333333335,
3638,experiment_05_32,23.865916666666667,
4608,experiment_05_32,7.20165,
3213,experiment_05_32,25.508366666666667,
4151,experiment_05_32,10.608366666666669,
3491,experiment_05_32,13.93545,
4286,experiment_05_32,10.586983333333333,
3358,experiment_05_32,10.154066666666669,
4455,experiment_05_32,10.946466666666666,
3616,experiment_05_32,32.43488333333333,
3706,experiment_05_32,18.29375,
4690,experiment_05_32,14.412266666666667,
3858,experiment_05_32,10.574783333333333,
4510,experiment_05_32,13.188166666666667,
3932,experiment_05_32,9.718666666666667,
4203,experiment_05_32,17.719166666666666,
4003,experiment_05_32,12.964333333333334,
3286,experiment_05_32,8.648316666666666,
4425,experiment_05_32,24.509616666666663,
3783,experiment_05_32,12.346683333333331,
3548,experiment_05_11,12.084816666666669,
3730,experiment_05_11,8.5189,
4633,experiment_05_11,10.015216666666667,
3352,experiment_05_11,19.2841,
4719,experiment_05_11,10.08645,
4325,experiment_05_11,17.083966666666665,
3698,experiment_05_11,8.775983333333333,
3928,experiment_05_11,10.63295,
3198,experiment_05_11,12.01745,
4496,experiment_05_11,9.1506,
3993,experiment_05_11,16.434183333333333,
3781,experiment_05_11,16.807916666666667,
4562,experiment_05_11,10.7453,
4394,experiment_05_11,18.913183333333333,
4643,experiment_05_11,10.120166666666666,
4140,experiment_05_11,10.158783333333334,
3854,experiment_05_11,12.473033333333332,
4241,experiment_05_11,9.371733333333331,
3282,experiment_05_11,17.479433333333333,
3440,experiment_05_11,11.392733333333334,
3276,experiment_05_18,7.6537,
4552,experiment_05_18,7.570066666666667,
3345,experiment_05_18,14.28985,
3696,experiment_05_18,6.3128,
3434,experiment_05_18,7.8227,
4388,experiment_05_18,21.72833333333333,
3202,experiment_05_18,12.800383333333333,
3923,experiment_05_18,11.426616666666666,
4298,experiment_05_18,10.424816666666668,
3628,experiment_05_18,9.354133333333332,
4492,experiment_05_18,7.894766666666667,
3850,experiment_05_18,8.545733333333333,
4715,experiment_05_18,14.425783333333332,
3522,experiment_05_18,14.907033333333333,
4052,experiment_05_18,6.7428,
4751,experiment_05_18,6.9581333333333335,
4636,experiment_05_18,9.96345,
3985,experiment_05_18,39.9642,
4231,experiment_05_18,14.776816666666669,
3917,experiment_05_18,15.050733333333334,
4632,experiment_05_06,13.990466666666666,
4044,experiment_05_06,17.860166666666668,
3340,experiment_05_06,5.513766666666666,
3513,experiment_05_06,6.8282,
3846,experiment_05_06,16.722733333333334,
3773,experiment_05_06,12.768716666666666,
3623,experiment_05_06,19.131533333333337,
3264,experiment_05_06,16.835283333333333,
4227,experiment_05_06,7.37065,
3176,experiment_05_06,12.72715,
4488,experiment_05_06,30.9889,
4517,experiment_05_06,18.600716666666667,
3762,experiment_05_06,7.718766666666666,
4289,experiment_05_06,6.861983333333334,
4365,experiment_05_06,14.55295,
4124,experiment_05_06,6.588333333333333,
3916,experiment_05_06,6.58275,
4711,experiment_05_06,13.050683333333334,
3420,experiment_05_06,14.271216666666668,
3977,experiment_05_06,16.13725,
3256,experiment_06_07,7.497733333333334,
4707,experiment_06_07,13.148833333333334,
3365,experiment_06_07,9.249866666666666,
3172,experiment_06_07,24.3763,
4190,experiment_06_07,11.849933333333333,
3962,experiment_06_07,22.57755,
3668,experiment_06_07,11.623133333333334,
3493,experiment_06_07,13.774,
4367,experiment_06_07,21.57555,
4117,experiment_06_07,16.230416666666667,
4629,experiment_06_07,35.59805,
3770,experiment_06_07,10.01675,
3401,experiment_06_07,9.05615,
4036,experiment_06_07,14.478566666666667,
4269,experiment_06_07,6.073616666666667,
4519,experiment_06_07,10.17255,
3911,experiment_06_07,9.672333333333333,
4440,experiment_06_07,9.070533333333334,
3615,experiment_06_07,22.498633333333338,
3841,experiment_06_07,18.960516666666667,
3653,experiment_05_21,5.67485,
3765,experiment_05_21,8.606333333333334,
3167,experiment_05_21,15.8373,
3685,experiment_05_21,9.424866666666668,
4342,experiment_05_21,33.8758,
4703,experiment_05_21,8.239816666666666,
3477,experiment_05_21,16.2134,
4077,experiment_05_21,19.691683333333337,
4542,experiment_05_21,10.3051,
3836,experiment_05_21,10.891466666666666,
3423,experiment_05_21,14.488916666666666,
4628,experiment_05_21,12.442516666666666,
3244,experiment_05_21,9.740116666666667,
4185,experiment_05_21,17.7001,
4010,experiment_05_21,37.02826666666667,
4486,experiment_05_21,16.58951666666667,
3404,experiment_05_21,13.305716666666669,
3907,experiment_05_21,18.780283333333333,
4423,experiment_05_21,15.7162,
4324,experiment_05_21,24.844066666666667,
3274,experiment_05_23,11.323733333333331,
3828,experiment_05_23,17.069316666666666,
4623,experiment_05_23,23.496233333333333,
3988,experiment_05_23,8.118266666666667,
4407,experiment_05_23,15.222233333333334,
4579,experiment_05_23,23.561283333333332,
