TGrepID,EntireSentence,PreceedingContext,AResponse,AllResponse,TheResponse
control_a_tissue,Do you want a tissue?,speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. ,A tissue…?,Every tissue…?,The tissue…?
control_a_napkin,Can I hand you a napkin?,speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.,A napkin…?,Every napkin…?,The napkin...?
control_the_book,Did you return the book you borrowed?,speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. ,A book...?,Every book…?,The book...?
control_the_movie,Can you text me the movie schedule?,speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. ,A movie schedule...?,Every movie schedule…?,The movie schedule...?
control_all_cookies,Did you grab all the cookies?,speakera. It's time to leave for the potluck.The car's almost packed. speakerb. ,A cookie...?,Every cookie…?,The cookie...?
control_all_novels,Have you read all her novels?,speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.,An novel...?,Every novel…?,The novel...?
