workerid,proliferate.condition,time_in_minutes,error
376,experiment_05,10.353883333333334,
571,experiment_05,44.382466666666666,
319,experiment_05,10.722583333333333,
192,experiment_05,6.37625,
305,experiment_05,23.24345,
391,experiment_05,51.88088333333334,
418,experiment_05,9.3208,
243,experiment_05,11.9369,
282,experiment_05,6.424316666666667,
430,experiment_05,13.356533333333331,
222,experiment_05,11.738633333333333,
258,experiment_05,29.523533333333333,
553,experiment_05,45.86195,
570,experiment_05,14.240533333333332,
487,experiment_11,11.54335,
257,experiment_11,10.707766666666666,
267,experiment_11,14.60685,
567,experiment_11,11.09075,
416,experiment_11,51.077133333333336,
428,experiment_11,12.937566666666669,
326,experiment_11,33.63545,
169,experiment_11,11.28265,
189,experiment_11,31.5213,
207,experiment_11,15.976683333333334,
552,experiment_11,15.3199,
221,experiment_11,11.167066666666669,
404,experiment_11,11.202433333333332,
242,experiment_11,23.46685,
375,experiment_11,21.84855,
449,experiment_11,25.253233333333338,
179,experiment_11,16.959033333333334,
281,experiment_11,17.2913,
304,experiment_11,19.26275,
549,experiment_11,15.907716666666667,
443,experiment_11,14.245233333333331,
390,experiment_11,14.032616666666666,
401,experiment_11,33.5543,
316,experiment_11,28.02575,
529,experiment_11,14.5277,
353,experiment_11,16.51735,
457,experiment_11,27.09815,
475,experiment_10,11.633866666666666,
540,experiment_10,50.73858333333333,
280,experiment_10,13.499516666666668,
173,experiment_10,27.067,
479,experiment_10,8.111266666666667,
562,experiment_10,15.493933333333333,
216,experiment_10,44.82065,
356,experiment_10,7.5647,
525,experiment_10,19.016466666666663,
409,experiment_10,22.734333333333332,
256,experiment_10,11.39965,
425,experiment_10,34.59296666666667,
536,experiment_10,9.506383333333334,
373,experiment_10,50.99928333333333,
198,experiment_10,9.58945,
325,experiment_10,11.038616666666666,
224,experiment_10,8.60805,
315,experiment_10,32.202783333333336,
187,experiment_10,62.98278333333333,
442,experiment_10,12.37005,
414,experiment_10,14.1916,
285,experiment_10,9.24605,
385,experiment_10,19.79565,
453,experiment_10,16.58135,
212,experiment_10,16.752483333333334,
507,experiment_10,10.8603,
565,experiment_10,15.35675,
557,experiment_30,11.741466666666666,
437,experiment_30,6.0255,
262,experiment_30,11.403833333333331,
413,experiment_30,11.13595,
440,experiment_30,18.42428333333333,
569,experiment_30,27.84195,
213,experiment_30,18.558916666666665,
402,experiment_30,13.9565,
206,experiment_30,12.52395,
499,experiment_30,21.274033333333332,
512,experiment_30,19.617683333333332,
232,experiment_30,9.306966666666666,
324,experiment_30,35.17535,
360,experiment_30,38.60715,
165,experiment_30,24.11855,
274,experiment_30,25.294966666666667,
292,experiment_30,19.7179,
177,experiment_30,6.323566666666666,
191,experiment_30,46.03718333333333,
528,experiment_30,23.893583333333332,
491,experiment_30,20.9908,
389,experiment_30,17.153466666666667,
427,experiment_30,17.47045,
469,experiment_30,13.3484,
253,experiment_30,23.4876,
456,experiment_30,21.23545,
347,experiment_30,12.560566666666666,
400,experiment_30,32.663716666666666,
188,experiment_04,11.02785,
566,experiment_04,9.205616666666666,
382,experiment_04,13.645333333333332,
555,experiment_04,18.124383333333338,
496,experiment_04,18.69895,
468,experiment_04,21.515466666666665,
176,experiment_04,25.43345,
205,experiment_04,6.553216666666667,
535,experiment_04,12.466733333333334,
162,experiment_04,23.853716666666667,
220,experiment_04,8.4724,
298,experiment_04,9.110383333333331,
247,experiment_04,14.89645,
547,experiment_04,28.652583333333332,
544,experiment_04,19.8338,
410,experiment_04,31.88495,
369,experiment_04,22.989133333333335,
311,experiment_04,37.5328,
439,experiment_04,9.624733333333332,
329,experiment_04,11.2039,
511,experiment_04,23.402083333333337,
399,experiment_04,27.320083333333333,
426,experiment_04,10.889433333333333,
455,experiment_04,16.77465,
388,experiment_04,14.226266666666668,
340,experiment_04,10.313716666666666,
358,experiment_04,13.733933333333333,
251,experiment_04,7.8403,
202,experiment_09,11.66335,
309,experiment_09,13.808833333333334,
509,experiment_09,20.335883333333335,
423,experiment_09,27.365566666666663,
297,experiment_09,9.468016666666667,
454,experiment_09,10.971066666666667,
563,experiment_09,37.459266666666664,
411,experiment_09,13.229883333333332,
